,city,lat,lon,max temp,humidity,cloudiness,wind speed,date
391,Cassilândia,-19.11,-51.73,70.18,72,0,2.46,1591750652
392,Winton,37.39,-120.61,91.4,15,5,9.75,1591750652
393,Sola,-13.88,167.55,78.8,94,75,5.82,1591750653
394,Forbes,-33.38,148.02,62.01,69,100,3.0,1591750653
395,Ibadan,7.39,3.9,72.43,96,100,3.29,1591750653
396,Kagoro,9.6,8.38,69.57,96,100,2.86,1591750653
397,Leshukonskoye,64.9,45.76,58.6,93,99,6.76,1591750653
398,Batticaloa,7.71,81.69,81.43,71,100,4.76,1591750653
399,San Rafael,-34.62,-68.33,52.27,42,0,4.9,1591750653
400,Wanning,18.8,110.4,86.02,74,100,12.28,1591750654
401,Ekhabi,53.51,142.97,46.71,94,100,8.28,1591750654
402,Tegul'det,57.31,88.17,48.85,84,100,1.83,1591750654
403,Luang Prabang,19.89,102.13,78.8,88,90,1.07,1591750654
404,Orsha,54.52,30.41,65.57,92,100,11.52,1591750654
405,Geraldton,-28.77,114.6,60.8,41,94,16.11,1591750654
406,Iwanai,42.97,140.51,74.01,52,100,6.29,1591750654
407,Nantucket,41.28,-70.1,64.0,87,90,4.7,1591750619
408,Saint Anthony,45.02,-93.22,73.4,83,75,5.82,1591750475
409,Ponazyrevo,58.36,46.31,58.15,87,0,4.29,1591750655
410,Washington,47.5,-120.5,62.6,59,90,8.05,1591750623
411,Zhongshu,24.52,103.77,69.46,84,13,6.13,1591750655
412,Port Blair,11.67,92.75,83.05,78,100,17.67,1591750655
413,Mahibadhoo,3.78,72.97,83.73,78,94,13.4,1591750655
414,Moussoro,13.64,16.49,88.66,32,0,5.53,1591750655
415,Paamiut,61.99,-49.67,43.48,94,100,5.55,1591750655
416,Moose Factory,51.26,-80.61,44.6,70,75,10.29,1591750655
417,Iquique,-20.22,-70.14,64.4,68,90,6.93,1591750655
418,Salisbury,51.07,-1.8,53.6,81,100,6.93,1591750476
419,Pangnirtung,66.15,-65.71,32.54,93,21,2.19,1591750656
420,Tilichiki,60.47,166.1,46.74,71,8,9.1,1591750656
421,Bethel,41.37,-73.41,78.8,50,1,9.17,1591750656
422,Micheweni,-4.97,39.83,76.93,80,56,10.22,1591750656
423,Gallup,35.53,-108.74,71.6,9,1,11.41,1591750656
424,Verkhneural'sk,53.88,59.21,51.8,76,0,8.95,1591750657
425,Biharamulo,-2.63,31.31,61.56,74,14,2.91,1591750657
426,Carnaíba,-8.7,-37.67,69.44,92,7,7.56,1591750657
427,Charters Towers,-20.1,146.27,68.32,57,100,11.12,1591750657
428,Waipawa,-41.41,175.52,57.2,71,0,17.22,1591750657
429,Yuancheng,36.65,107.79,67.21,64,100,3.85,1591750657
430,Los Llanos de Aridane,28.66,-17.92,69.8,77,75,9.17,1591750657
431,Saint-Paul,-21.01,55.27,69.8,64,20,18.34,1591750520
432,Derzhavīnsk,51.1,66.32,67.96,59,0,6.58,1591750658
433,Beringovskiy,63.05,179.32,52.23,51,1,5.64,1591750658
434,Baruun-Urt,46.68,113.28,65.71,30,0,14.16,1591750658
435,Norwich,52.63,1.3,46.0,81,100,4.7,1591750368
436,Ous,60.91,61.52,68.27,52,0,5.57,1591750658
437,São José da Coroa Grande,-8.9,-35.15,76.19,86,0,5.08,1591750658
438,Béoumi,7.67,-5.58,68.0,100,20,6.93,1591750658
439,Takaungu,-3.68,39.86,75.61,84,15,10.98,1591750659
440,Margate,51.38,1.39,55.99,72,100,1.99,1591750659
441,Babu,24.42,111.52,79.61,84,100,2.71,1591750659
442,Evensk,61.95,159.23,51.84,56,100,8.48,1591750659
443,Great Yarmouth,52.61,1.73,51.01,98,100,7.23,1591750659
444,Kruisfontein,-34.0,24.73,59.9,44,86,4.05,1591750659
445,La Romana,18.43,-68.97,80.6,88,75,4.7,1591750659
446,Batemans Bay,-35.72,150.18,60.01,85,100,3.09,1591750659
447,Esim,4.87,-2.24,78.57,85,100,9.89,1591750659
448,Coari,-4.08,-63.14,76.14,81,0,1.32,1591750660
449,Coffs Harbour,-30.3,153.13,64.4,88,75,16.11,1591750660
450,Smithers,54.78,-127.17,62.6,45,75,11.41,1591750412
451,Zhangjiakou,40.81,114.88,71.06,43,0,5.5,1591750660
452,Beipiao,41.79,120.78,63.73,81,100,8.43,1591750660
453,Thames,-37.13,175.53,61.0,84,0,1.99,1591750660
454,Dano,11.15,-3.07,75.9,73,96,7.94,1591750660
455,Romitan,39.93,64.38,64.4,36,0,6.93,1591750660
456,Maţāy,28.42,30.78,74.82,45,0,7.4,1591750661
457,Yulara,-25.24,130.99,53.6,37,0,6.93,1591750661
458,Fort Nelson,58.81,-122.7,60.8,55,75,8.05,1591750446
459,Shar,49.59,81.05,59.16,60,0,13.35,1591750661
460,Limoncito,-18.02,-63.4,77.0,83,20,9.17,1591750661
461,Wilmington,34.23,-77.94,78.8,69,40,11.41,1591750381
462,Berlevåg,70.86,29.09,41.47,69,30,15.39,1591750661
463,Safi,32.3,-9.24,66.06,76,56,13.0,1591750504
464,Gijang,35.24,129.21,82.4,48,28,4.7,1591750507
465,Altay,47.87,88.12,60.53,52,7,2.55,1591750662
466,Kaihua,23.37,104.28,71.24,86,99,4.63,1591750662
467,Lieksa,63.32,30.02,56.77,76,100,8.75,1591750662
468,Paramonga,-10.67,-77.83,62.78,84,13,4.43,1591750442
469,Bonthe,7.53,-12.51,78.66,86,100,6.04,1591750663
470,Atar,20.52,-13.05,81.9,60,100,17.05,1591750663
471,Bagotville,-28.98,153.42,66.2,88,87,9.17,1591750663
472,Lompoc,34.64,-120.46,78.8,29,20,10.29,1591750663
473,Yurino,56.29,46.3,57.2,100,1,4.47,1591750663
474,Andros Town,24.7,-77.77,84.2,74,75,8.05,1591750663
475,Alta Floresta,-9.88,-56.09,73.06,71,7,2.08,1591750663
476,Balabac,7.99,117.06,85.59,65,100,0.89,1591750664
477,Zhigansk,66.77,123.37,41.92,64,100,21.07,1591750664
478,Luangwa,-15.62,30.42,57.04,77,0,2.1,1591750664
479,Ørnes,66.87,13.71,41.0,86,7,4.7,1591750664
480,Biak,-0.91,122.88,77.41,83,100,7.54,1591750664
481,Polunochnoye,60.87,60.42,66.36,56,0,4.14,1591750664
482,Narrabri,-30.32,149.78,66.99,63,75,5.82,1591750644
483,Kasama,-10.21,31.18,50.58,87,77,3.06,1591750664
484,Kambove,-10.88,26.6,52.95,69,5,4.59,1591750665
485,Anori,-3.77,-61.64,76.08,83,0,1.48,1591750665
486,Polokwane,-23.9,29.47,44.6,75,0,2.24,1591750665
487,Mizdah,31.45,12.98,70.59,51,86,12.33,1591750665
488,Opelika,32.65,-85.38,75.2,88,20,6.93,1591750665
489,Urengoy,65.97,78.37,59.36,62,100,8.01,1591750665
490,Dakoro,14.51,6.76,89.11,47,100,17.63,1591750665
491,Morristown,36.21,-83.29,82.4,65,20,6.93,1591750427
492,Indiana,40.0,-86.25,80.6,100,75,19.46,1591750666
